State,County,Avg Prevalance,Health Condition
OK,Osage,48.6,BPHIGH_CrudePrev
MI,Genesee,45.90769230769231,BPHIGH_CrudePrev
MI,Wayne,44.233513513513515,BPHIGH_CrudePrev
WV,Kanawha,44.02272727272727,BPHIGH_CrudePrev
OK,Pottawatomie,43.2,BPHIGH_CrudePrev
KS,Wyandotte,39.49,BPHIGH_CrudePrev
AR,Pulaski,38.92156862745098,BPHIGH_CrudePrev
FL,Polk,37.864102564102566,BPHIGH_CrudePrev
IL,Macon,37.834482758620695,BPHIGH_CrudePrev
FL,Flagler,37.60666666666667,BPHIGH_CrudePrev
FL,Flagler,9.053333333333335,CHD_CrudePrev
OK,Pottawatomie,8.9,CHD_CrudePrev
MI,Genesee,8.746153846153847,CHD_CrudePrev
OK,Osage,8.7,CHD_CrudePrev
MI,Wayne,8.623513513513513,CHD_CrudePrev
WV,Kanawha,8.595454545454546,CHD_CrudePrev
FL,Polk,8.333333333333334,CHD_CrudePrev
FL,Lee,7.951724137931034,CHD_CrudePrev
FL,Pinellas,7.9,CHD_CrudePrev
PA,Erie,7.89,CHD_CrudePrev
MI,Genesee,17.805128205128206,DIABETES_CrudePrev
MI,Wayne,16.695405405405406,DIABETES_CrudePrev
OK,Osage,16.450000000000003,DIABETES_CrudePrev
WV,Kanawha,15.095454545454546,DIABETES_CrudePrev
KS,Wyandotte,14.795,DIABETES_CrudePrev
FL,Miami-Dade,14.74974358974359,DIABETES_CrudePrev
PA,Berks,14.596296296296297,DIABETES_CrudePrev
OK,Pottawatomie,13.6,DIABETES_CrudePrev
PA,Philadelphia,13.125265957446809,DIABETES_CrudePrev
MO,St. Louis,13.022641509433964,DIABETES_CrudePrev
OK,Pottawatomie,42.5,HIGHCHOL_CrudePrev
OK,Osage,40.599999999999994,HIGHCHOL_CrudePrev
WV,Kanawha,38.90909090909091,HIGHCHOL_CrudePrev
FL,Flagler,37.36,HIGHCHOL_CrudePrev
OK,Wagoner,36.65384615384615,HIGHCHOL_CrudePrev
FL,St. Lucie,36.52857142857143,HIGHCHOL_CrudePrev
IA,Black Hawk,36.44230769230769,HIGHCHOL_CrudePrev
FL,Lee,36.199999999999996,HIGHCHOL_CrudePrev
OK,Tulsa,35.99605263157895,HIGHCHOL_CrudePrev
IL,Macon,35.98275862068966,HIGHCHOL_CrudePrev
MI,Genesee,20.15897435897436,MHLTH_CrudePrev
PA,Berks,19.444444444444443,MHLTH_CrudePrev
PA,Erie,18.63,MHLTH_CrudePrev
MI,Wayne,18.021081081081082,MHLTH_CrudePrev
MI,Kalamazoo,17.295238095238094,MHLTH_CrudePrev
OK,Comanche,17.071428571428573,MHLTH_CrudePrev
PA,Lehigh,17.006451612903227,MHLTH_CrudePrev
AR,Sebastian,16.995238095238093,MHLTH_CrudePrev
OR,Jackson,16.565,MHLTH_CrudePrev
WV,Kanawha,16.37272727272727,MHLTH_CrudePrev
MI,Genesee,48.712820512820514,OBESITY_CrudePrev
PA,Berks,42.63333333333333,OBESITY_CrudePrev
OK,Osage,41.8,OBESITY_CrudePrev
MI,Wayne,41.54783783783784,OBESITY_CrudePrev
KS,Wyandotte,41.513333333333335,OBESITY_CrudePrev
WI,Racine,39.45454545454545,OBESITY_CrudePrev
WV,Kanawha,39.336363636363636,OBESITY_CrudePrev
MI,Eaton,39.1,OBESITY_CrudePrev
IA,Polk,38.79655172413793,OBESITY_CrudePrev
IL,Peoria,38.547222222222224,OBESITY_CrudePrev
MI,Genesee,19.725641025641025,PHLTH_CrudePrev
PA,Berks,19.52962962962963,PHLTH_CrudePrev
MI,Wayne,18.42945945945946,PHLTH_CrudePrev
PA,Erie,17.033333333333335,PHLTH_CrudePrev
WA,Yakima,16.821052631578947,PHLTH_CrudePrev
PA,Lehigh,16.690322580645162,PHLTH_CrudePrev
WV,Kanawha,16.413636363636364,PHLTH_CrudePrev
AR,Sebastian,16.276190476190475,PHLTH_CrudePrev
PA,Lackawanna,15.925925925925926,PHLTH_CrudePrev
KS,Wyandotte,15.9,PHLTH_CrudePrev
